거래일자,지역명,지역상세,건물유형,거래유형,거래금액(만원),보증금(만원),월세(만원),면적(㎡),층수,준공연도,거래중개
2024-01-13,은평구,은평구 4동,단독주택,전세,23307,0,0,184.02610733017187,12,2011,중개
2024-02-12,서대문구,서대문구 14동,빌라,공매,44494,25002,0,164.18148377562488,21,2007,중개
2024-12-10,강북구,강북구 7동,단독주택,경매,57940,44135,0,57.49885043480715,15,1994,직거래
2024-01-16,관악구,관악구 9동,다세대주택,월세,109742,14149,0,107.30995957207374,13,2007,중개
2024-12-03,은평구,은평구 19동,아파트,전세,127581,7105,0,181.05485977564365,34,1994,중개
2024-01-24,서대문구,서대문구 10동,아파트,공매,24631,14364,0,66.62705782169263,6,2001,경매
2024-08-27,노원구,노원구 17동,상가,월세,217440,75416,0,191.12829499952525,3,2004,직거래
2024-02-28,마포구,마포구 17동,아파트,전세,37871,0,0,163.76372676746524,39,1981,중개
2024-12-12,서대문구,서대문구 12동,상가,경매,71173,0,118,151.0101492642869,13,2019,중개
2024-12-12,노원구,노원구 18동,아파트,전세,80896,0,0,191.0325279472475,1,1994,중개
2024-11-29,강남구,강남구 10동,단독주택,월세,42795,26286,0,196.56318049222332,4,1988,직거래
2024-12-19,종로구,종로구 19동,주상복합,월세,71967,0,0,28.005893984568797,29,1987,직거래
2024-04-13,양천구,양천구 7동,아파트,공매,19085,0,0,129.11483673634527,7,2008,직거래
2024-10-12,용산구,용산구 19동,주상복합,공매,55172,0,91,163.15166806350007,4,1996,직거래
2024-02-06,중랑구,중랑구 2동,오피스텔,매매,90964,0,30,179.97435285529554,45,1985,경매
2024-05-22,성동구,성동구 12동,단독주택,전세,108315,22102,52,59.59840284144752,17,2000,중개
2024-06-05,노원구,노원구 5동,오피스텔,매매,41798,0,0,157.45646585417958,46,2001,중개
2024-03-10,성동구,성동구 15동,빌라,전세,38859,0,0,74.17140975408587,0,1981,직거래
2024-10-07,강북구,강북구 5동,다세대주택,월세,25884,29191,209,44.24968011631945,48,1983,중개
2024-05-16,성동구,성동구 4동,아파트,월세,232315,0,0,91.67779354123913,12,1987,중개
2024-12-25,강남구,강남구 17동,오피스텔,공매,98005,0,188,180.03663168481282,-1,1993,경매
2024-02-19,노원구,노원구 11동,주상복합,공매,344459,0,193,190.9167386804573,14,1991,직거래
2024-01-17,도봉구,도봉구 18동,오피스텔,전세,75644,4541,0,131.9900463512494,14,1986,중개
2024-01-10,관악구,관악구 19동,주상복합,경매,85613,0,51,98.45126639709069,32,2017,경매
2024-06-20,양천구,양천구 4동,아파트,전세,24179,0,0,171.70170430050723,21,2023,직거래
2024-12-26,성북구,성북구 18동,오피스텔,매매,137710,30346,163,73.99530346781586,38,2023,경매
2024-12-25,용산구,용산구 11동,빌라,월세,416437,0,109,65.70432644060506,48,2023,중개
2024-01-10,구로구,구로구 12동,다세대주택,전세,13310,0,87,170.2052738232731,39,2012,중개
2024-08-14,양천구,양천구 3동,오피스텔,공매,121798,0,83,24.645290274421594,29,2021,직거래
2024-01-09,동대문구,동대문구 11동,아파트,전세,64168,24692,0,199.9411769435766,25,2007,직거래
2024-07-30,중랑구,중랑구 1동,오피스텔,공매,126679,77190,0,114.26103199981733,17,1981,경매
2024-03-15,송파구,송파구 10동,다세대주택,매매,187661,0,228,102.42642437496161,33,1985,중개
2024-05-16,용산구,용산구 8동,상가,월세,165716,37896,0,144.01204223081055,12,2015,직거래
2024-04-14,구로구,구로구 15동,오피스텔,공매,37933,0,0,115.945501067886,25,1996,중개
2024-05-06,동대문구,동대문구 11동,빌라,월세,74852,17723,0,103.93453819674156,18,2008,중개
2024-01-13,서초구,서초구 4동,상가,매매,8244,9889,0,104.44988874213175,3,1986,경매
2024-06-20,강남구,강남구 13동,단독주택,경매,89255,8367,0,194.31762966064457,39,2020,중개
2024-10-21,노원구,노원구 5동,아파트,매매,147832,32748,0,127.88826000699831,20,2019,직거래
2024-02-03,중구,중구 7동,아파트,경매,65466,0,0,28.842840900533417,18,2017,중개
2024-08-06,성북구,성북구 4동,상가,월세,76376,58781,0,118.60608525046447,4,2009,직거래
2024-07-25,서대문구,서대문구 13동,빌라,경매,55807,0,58,158.41108408869127,46,1986,직거래
2024-07-22,서대문구,서대문구 3동,빌라,월세,66977,0,0,198.7154180486394,13,1999,중개
2024-04-28,중랑구,중랑구 3동,빌라,공매,133919,6077,0,135.49159976859363,7,2012,경매
2024-05-19,중랑구,중랑구 12동,아파트,공매,69317,0,85,86.79165226463566,48,2000,경매
2024-09-01,광진구,광진구 12동,단독주택,매매,41597,0,0,121.37565664066902,17,2000,중개
2024-08-05,중구,중구 6동,빌라,경매,135734,0,35,140.73680390807613,31,2020,경매
2024-01-22,구로구,구로구 16동,상가,월세,32432,6179,0,189.74878591477162,26,1983,직거래
2024-06-12,성동구,성동구 14동,상가,월세,39643,49182,0,57.57425883175326,45,1994,중개
2024-09-27,강남구,강남구 12동,단독주택,전세,19475,0,0,51.445883255761714,11,1998,경매
2024-09-02,금천구,금천구 19동,빌라,전세,169306,0,0,129.37224365910896,41,1983,직거래
2024-07-16,서초구,서초구 11동,주상복합,전세,91285,5751,235,197.83555777592665,2,2010,중개
2024-03-31,중구,중구 16동,다세대주택,공매,106337,0,0,29.44859311154538,47,2019,중개
2024-08-10,강북구,강북구 18동,단독주택,전세,33500,0,0,68.80706501189952,42,1987,경매
2024-04-11,종로구,종로구 10동,오피스텔,매매,146862,30558,0,103.0522143486037,8,2001,중개
2024-05-07,강북구,강북구 5동,아파트,경매,136757,0,0,193.29596253637868,24,1985,중개
2024-10-31,동대문구,동대문구 17동,빌라,공매,29845,0,0,181.24379435159148,2,2009,경매
2024-01-08,성북구,성북구 15동,상가,경매,30372,34075,0,46.98097315906846,13,2023,경매
2024-09-03,종로구,종로구 3동,빌라,경매,132336,0,0,193.84247541925416,35,2019,중개
2024-02-27,구로구,구로구 18동,빌라,경매,127399,6630,0,151.52723918531953,20,1992,경매
2024-05-16,성북구,성북구 1동,단독주택,경매,117802,0,0,150.41732133097665,48,1993,직거래
2024-02-18,금천구,금천구 14동,주상복합,공매,147442,21287,192,101.89285713074199,24,1996,중개
2024-08-29,관악구,관악구 2동,단독주택,월세,22093,19869,0,170.11833717783736,45,2008,직거래
2024-12-18,성북구,성북구 8동,단독주택,월세,232589,32704,167,149.42308781214825,8,1999,경매
2024-05-08,강북구,강북구 9동,주상복합,공매,52131,0,0,127.57321877520079,5,2002,경매
2024-04-12,서초구,서초구 10동,단독주택,경매,137926,8648,143,196.64787877871507,46,2005,중개
2024-10-20,도봉구,도봉구 12동,상가,매매,47634,0,221,176.3232642105447,-1,1981,경매
2024-09-29,도봉구,도봉구 19동,단독주택,공매,25152,10375,0,196.55180628030172,-1,1998,직거래
2024-04-04,마포구,마포구 15동,단독주택,월세,54438,6750,144,170.26448023180998,24,2015,경매
2024-02-06,관악구,관악구 9동,빌라,매매,32105,0,0,37.77842925177522,14,2003,경매
2024-09-19,노원구,노원구 12동,주상복합,월세,52031,53633,0,38.038042829094415,1,1983,직거래
2024-08-16,영등포구,영등포구 13동,단독주택,매매,89683,5850,270,161.44408373383538,24,2001,경매
2024-02-03,구로구,구로구 3동,주상복합,매매,1132887,49793,0,69.95839867364437,6,2016,중개
2024-03-08,영등포구,영등포구 12동,단독주택,공매,42432,19370,0,80.54636813906777,28,1996,직거래
2024-11-28,종로구,종로구 6동,오피스텔,전세,68350,27602,0,60.13540784179678,42,1996,경매
2024-06-04,광진구,광진구 17동,빌라,경매,54629,0,0,123.81695253846637,28,1983,경매
2024-08-13,영등포구,영등포구 13동,상가,공매,124623,48094,66,82.57431565571625,27,2012,중개
2024-03-18,은평구,은평구 1동,아파트,월세,102261,5305,0,39.6670801863543,30,2020,경매
2024-10-05,동대문구,동대문구 2동,다세대주택,월세,18752,0,245,188.4434313611815,33,2002,직거래
2024-01-16,성동구,성동구 18동,아파트,전세,60596,80312,52,182.22032413600206,31,2011,경매
2024-09-02,도봉구,도봉구 18동,빌라,경매,132289,14504,0,33.15055628590066,9,1980,중개
2024-07-26,관악구,관악구 6동,단독주택,매매,17638,38350,0,156.9908691141457,6,1994,직거래
2024-06-26,용산구,용산구 15동,주상복합,매매,101401,0,0,35.235669298205245,3,1983,경매
2024-12-14,도봉구,도봉구 12동,빌라,공매,51740,58039,0,26.62000269195618,27,2014,중개
2024-02-21,은평구,은평구 7동,빌라,공매,250550,0,0,161.1994775727312,21,2019,직거래
2024-11-04,마포구,마포구 15동,아파트,공매,159095,23175,0,58.71286486370944,13,2019,직거래
2024-04-16,강동구,강동구 4동,오피스텔,매매,244838,0,0,26.010776875854333,18,2014,중개
2024-07-08,중랑구,중랑구 7동,다세대주택,전세,26779,45432,0,162.4128801300082,36,1992,중개
2024-10-14,강남구,강남구 16동,단독주택,전세,88329,38594,63,168.04119637461193,37,2022,중개
2024-08-03,도봉구,도봉구 7동,단독주택,경매,20349,0,0,110.168964514981,13,1981,직거래
2024-02-19,성북구,성북구 9동,빌라,경매,196626,34058,0,123.36866844627569,49,1996,경매
2024-05-10,서대문구,서대문구 9동,오피스텔,매매,104490,7970,0,40.85248746752092,0,2013,직거래
2024-05-04,강동구,강동구 9동,다세대주택,경매,20395,0,61,156.09288983991706,6,2018,중개
2024-08-23,중랑구,중랑구 5동,상가,전세,16277,124227,0,139.0012269221944,27,2013,직거래
2024-05-11,송파구,송파구 1동,단독주택,전세,26659,0,0,33.672851653685036,31,2008,직거래
2024-07-22,강북구,강북구 18동,주상복합,공매,192860,0,64,38.69728225018589,31,2018,경매
2024-06-29,용산구,용산구 19동,상가,공매,224364,53901,0,78.01999612408525,16,1980,중개
2024-12-04,영등포구,영등포구 17동,주상복합,전세,281060,16328,264,79.87657436014628,44,1985,중개
2024-12-30,종로구,종로구 13동,오피스텔,월세,28278,93127,271,192.05510246745285,40,1984,경매
2024-10-24,서대문구,서대문구 19동,빌라,전세,40300,0,0,195.55292925740835,25,2023,직거래
2024-08-16,중구,중구 16동,다세대주택,경매,32882,0,210,151.89839029998242,0,2012,경매
2024-01-11,도봉구,도봉구 4동,아파트,매매,33601,11221,186,114.9324116906105,24,2008,경매
2024-03-10,종로구,종로구 12동,상가,전세,51550,9739,0,36.63612504291264,49,2017,경매
2024-02-05,성동구,성동구 13동,주상복합,전세,42852,12587,0,161.65293085737363,39,1997,중개
2024-11-25,구로구,구로구 7동,빌라,공매,67328,0,0,126.85746430042587,35,1994,경매
2024-04-30,성동구,성동구 19동,상가,월세,70276,31712,273,162.24400566220652,21,2019,중개
2024-03-10,중구,중구 1동,아파트,전세,12716,22741,0,197.6444685592782,0,2016,중개
2024-10-07,종로구,종로구 1동,아파트,매매,76089,0,0,145.99817021938856,1,1992,경매
2024-02-15,노원구,노원구 1동,상가,경매,261241,12537,0,99.93160845569561,22,1988,직거래
2024-05-28,마포구,마포구 4동,오피스텔,경매,79611,42355,0,37.272035890386185,39,2018,경매
2024-10-01,동작구,동작구 15동,주상복합,경매,111759,36187,0,43.45910562614462,24,2016,경매
2024-09-24,종로구,종로구 6동,빌라,공매,147441,0,0,103.85683556534632,21,1997,경매
2024-08-04,성북구,성북구 7동,주상복합,월세,59921,0,142,36.81773603164987,43,2005,중개
2024-11-27,강남구,강남구 7동,아파트,월세,79073,6657,65,28.8725598242848,32,2013,경매
2024-03-08,은평구,은평구 2동,상가,월세,71923,20970,244,118.37288810310142,41,2003,직거래
2024-02-22,도봉구,도봉구 18동,단독주택,매매,24842,28773,0,185.06390813850015,26,2000,직거래
2024-09-09,종로구,종로구 8동,다세대주택,공매,69691,20966,0,23.43787037150868,36,1984,경매
2024-05-04,서초구,서초구 13동,다세대주택,전세,76710,29468,0,63.61936606167302,12,2005,경매
2024-06-16,중랑구,중랑구 10동,단독주택,경매,72221,21409,0,179.46626067502459,15,1988,직거래
2024-08-22,노원구,노원구 11동,주상복합,전세,41757,33620,0,165.1812737834726,41,1990,중개
2024-09-15,서대문구,서대문구 11동,다세대주택,월세,169985,13579,0,55.422224046523894,29,2018,경매
2024-07-24,강북구,강북구 11동,상가,매매,49312,0,0,156.259056708138,6,1990,직거래
2024-10-08,광진구,광진구 5동,오피스텔,전세,39104,0,0,25.722046919924782,40,1991,경매
2024-07-28,중구,중구 1동,다세대주택,전세,75528,0,0,185.68501411049988,49,2003,중개
